Sep=;
#X1;-673;(-2692)
#Z1;-617;(-2468)
#X2;672;(2688)
#Z2;616;(2464)
#scale;1:4
seed;#;badlands;bamboo_jungle;beach;birch_forest;cherry_grove;cold_ocean;dark_forest;deep_cold_ocean;deep_frozen_ocean;deep_lukewarm_ocean;deep_ocean;desert;eroded_badlands;flower_forest;forest;frozen_ocean;frozen_peaks;frozen_river;grove;ice_spikes;jagged_peaks;jungle;lukewarm_ocean;mangrove_swamp;meadow;mushroom_fields;ocean;old_growth_birch_forest;old_growth_pine_taiga;old_growth_spruce_taiga;pale_garden;plains;river;savanna;savanna_plateau;snowy_beach;snowy_plains;snowy_slopes;snowy_taiga;sparse_jungle;stony_peaks;stony_shore;sunflower_plains;swamp;taiga;warm_ocean;windswept_forest;windswept_gravelly_hills;windswept_hills;windswept_savanna;wooded_badlands
-7465560807296727962;38;0;1113;41341;26772;2689;116176;18208;44792;1248;29955;383770;0;0;4747;148666;8406;10271;2494;24622;0;3035;7502;44515;0;14839;15993;281897;34528;17893;11430;8003;145498;66046;632;108;374;11060;5688;16651;5890;0;24238;3745;0;76129;0;0;0;0;0;0
5584182062962705524;44;710;9891;38931;45915;5727;67108;26055;31673;1166;140610;69955;32327;0;5183;183381;7310;471;401;1268;0;0;64192;190080;0;8937;7871;103290;50653;3577;1836;1795;164144;87048;46255;4322;1876;2073;208;0;32127;0;16673;10024;0;11680;179933;586;16;668;1133;1885
-7050103741671799677;37;0;24659;49332;52931;10472;8929;23124;8000;0;183318;143543;0;0;27942;154651;0;12;0;3331;0;1112;52352;197233;1241;8317;6464;116053;39516;0;0;3679;177460;99804;87100;3732;0;0;1901;0;27100;586;8712;16249;76946;20949;0;3460;2558;13208;4988;0
-8962444733443996525;43;0;21106;56926;40239;153;12601;76278;777;278;194897;147050;471;0;2699;137193;3557;15;155;0;185;0;49714;234013;1005;4682;1547;226742;42213;1779;2652;7553;181267;101160;54909;1371;438;1983;0;411;25157;0;14534;3315;118;8025;0;0;70;654;356;716
6324461251711730840;46;22815;6911;31764;34991;12724;10961;57967;6680;0;146094;112388;51556;7585;10613;155917;0;19978;2079;29825;0;3351;18300;66872;664;39624;1928;118623;32542;26508;13997;9032;189668;84293;19574;125;0;1893;9720;6016;25961;0;12749;25569;19290;41876;157563;5430;41;1721;2817;4369
2851622989055657113;42;0;1909;37297;64099;6159;49695;59538;11355;0;43167;67327;0;0;12594;248753;14594;6208;10642;10210;240;542;7123;70349;180;47824;628;168175;56245;14058;23029;4431;220022;126996;58649;2419;2913;48329;1502;15845;17886;538;31700;11248;0;79296;0;49;0;0;7201;0
3659174697238529187;38;0;10842;58782;27013;6229;6317;21217;17048;0;121039;163459;0;0;30133;154201;0;485;0;2305;0;0;38132;280029;9803;14886;436;182713;24326;30;301;3585;170092;98460;103981;10756;0;0;0;0;29278;3276;21133;22470;4593;4057;7686;581;18;3536;7736;0
-6294343429203688280;38;0;38102;39786;14627;16227;22647;25281;60526;0;176656;107277;55;0;8812;154641;0;958;0;6283;0;820;98725;197360;18859;20598;9342;136544;10283;0;0;1800;142680;95569;146642;6898;0;0;2791;0;38643;4227;35420;12704;3051;738;187;574;0;177;4454;0
-7522418752592280400;45;0;395;45299;21443;2147;69485;44791;34256;2991;140716;205237;17073;0;13820;152143;15454;0;7747;6401;1793;1483;14335;102766;15745;21901;11487;194147;27485;20408;13788;5413;150308;78571;22154;0;5120;35842;1030;20911;13690;0;3949;16663;22921;51814;14926;3118;2592;3753;3453;0
-3610198051290872650;46;0;7616;53478;45066;3461;46624;63765;4199;7896;180820;80967;276;0;24510;128898;11789;685;349;5133;0;956;19700;217643;20253;11914;748;225157;43205;422;3245;4037;179324;92585;80822;1104;157;438;701;174;20303;1171;37352;12590;87;3548;12487;385;0;811;4113;0
-7927461244078914372;42;175;1330;28103;22109;8114;23033;26916;8026;0;199405;308445;38965;24;13520;163579;0;273;0;2407;0;552;15073;122466;17512;8884;13669;211516;27435;0;0;4955;130158;69823;62427;8108;0;0;351;974;11126;736;7781;35575;1395;7840;51235;857;0;2452;3634;6
-1045116588526664502;46;1469;16254;39122;38161;2568;30792;38352;105078;12203;144370;167722;6417;575;4718;103758;54468;1984;15050;2442;3948;2413;29963;116737;48;13650;36368;179390;33205;0;0;1683;71739;57048;70984;2528;7064;51490;13828;30270;17391;0;16773;3043;1943;1785;104804;2933;0;1835;2598;0
